repoName,repoLink,repoDescription,repoAuthor,repoAuthorLink,isInactive,isArchived,stars
"Angular4-paystack","https://github.com/ashinzekene/angular4-paystack","This is an angular module that abstracts the complexity of making paystack payments with Angular2+.","@ashinzekene","https://twitter.com/ashinzekene","","",59
"Client_manager","https://github.com/timigod/client_manager","API Client Manager is a mountable Rails (engine) gem that helps identify and authenticate your API clients' requests.","@timigod","https://twitter.com/timigod","","",59
"DevOps-Toolkit","https://github.com/umegbewe/devops-toolkit","Easily and quickly setup your Cloud & DevOps development environment.","@0xGreat","https://twitter.com/0xGreat","","",59
"saido","https://github.com/bisohns/saido","A yaml driven tool for easily monitoring metrics on multiple servers","@bisohns","https://twitter.com/_deven96","","",58
"Signalum","https://github.com/bisohns/signalum","A Linux Library to explore creating an application that detects available connections at once from WiFi and Bluetooth.","@_deven96","https://twitter.com/_deven96",true,"",58
"generator-nestjs-app","https://github.com/ashinzekene/generator-nestjs-app","A yeoman generator for creating nestsjs apps.","@ashinzekene","https://twitter.com/ashinzekene",true,"",57
"Shutdown","https://github.com/emmanuelkehinde/Shutdown","A lightweight android library that handles the closing of your app interactively.","@emmakoko96","https://twitter.com/emmakoko96","","",57
"use-global-hook","https://github.com/devhammed/use-global-hook","Painless global state management for React using Hooks and Context API in 1KB!","@devhammed","https://profile.codersrank.io/user/devhammed","","",57
"Netty-Finder","https://github.com/BolajiAyodeji/netty-finder","This script checks a Nigerian Telephone number and detects which network it belongs to.","@iambolajiayo","https://twitter.com/iambolajiayo","","",55
"Laravel Crypto Payment Gateway","https://github.com/victorybiz/laravel-crypto-payment-gateway","GoUrl.io Crypto Payment Gateway for Laravel.","@victoryosayi","https://twitter.com/victoryosayi","","",54
"Gophie-web","https://github.com/Go-phie/gophie-web","A web client for streaming/downloading movies without hassle built on Gophie.","@GophieTeam","https://twitter.com/GophieTeam","","",53
"IntentManip","https://github.com/KingsMentor/IntentManip","Gives more control over implicit intents creation and the way it is presented to users.","@Kingsmentor","https://twitter.com/kingsmentor",true,"",53
"reka","https://github.com/MeNsaaH/reka","A Cloud Resource management Tool to destroy, stop, resume, or clean up unsed resources.","@iamMensaah","https://twitter.com/iamMensaah","","",53
"JSON Preview","https://github.com/ugwustanley/json-preview","A tool that allows you to convert your JSON file into visual interactive diagrams.","@chiagozie_ugwu","https://twitter.com/chiagozie_ugwu","","",52
"Nimble","https://github.com/neoighodaro/nimble","Fast PHP framework made with very loose optional components.","@neoighodaro","https://twitter.com/neoighodaro","","",52
"Mvrd","https://github.com/unicodeveloper/mvrd","","@unicodeveloper","https://twitter.com/unicodeveloper",true,"",51
"Mythra","https://github.com/Go-phie/mythra","","@deven96","https://twitter.com/_deven96","","",51
"Essential Kit","https://github.com/ichtrojan/essential-kit","A Boilerplate for NodeJS with all the essential tools.","@ichtrojan","https://twitter.com/ichtrojan",true,"",50
"Waihona","https://github.com/bisohns/waihona","Rust crates for performing cloud storage actions across AWS, GCP and Azure.","@deven96","https://twitter.com/_deven96","","",50
"Piggment","https://github.com/adenekan41/piggment","A curated collection of amazingly colored gradients for designers, developers and art makers over the world.","@codewonders","https://twitter.com/code_wonders","","",48
"Lindaikeji CLI","https://github.com/unicodeveloper/lindaikeji-cli","Linda Ikeji for Hackers, HR Associates, HR Managers, Lazy People, e.t.c.","@unicodeveloper","https://twitter.com/unicodeveloper",true,"",47
"OpenWriter","https://github.com/ireade/openwriter","A free theme for Ghost.","@ireaderinokun","https://twitter.com/ireaderinokun",true,"",47
